Course,Link,Faculty,Institute
NOC:Basic Electrical Circuits,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106108,Dr. Nagendra Krishnapura ,IIT Madras
NOC:Digital Circuits and Systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106114,Prof. Shankar Balachandran,IIT Madras
NOC:Estimation for Wireless Communications ?MIMO/ OFDM Cellular and Sensor Networks(Course sponsored by Aricent),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117104118,Prof. Aditya K. Jagannatham,IIT Kanpur
NOC:Microwave Integrated Circuits,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117101119,Prof. Jayanta Mukherjee,IIT Bombay
NOC:Networks and Systems(Course sponsored by Aricent),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106116,C. S. Ramalingam,Dr. Andrew Thangaraj,Prof. V.G.K. Murti,IIT Madras
NOC:Principles of Modern CDMA/ MIMO/ OFDM Wireless Communications(Course sponsored by Aricent),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117104115,Prof. Aditya K. Jagannatham,IIT Kanpur
NOC:Probability and Random Variables/ Processes for Wireless Communications,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117104117,Prof. Aditya K. Jagannatham,IIT Kanpur
Pattern Recognition,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117108048,Prof. P.S. Sastry,IISc Bangalore
Pattern Recognition and Application,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117105101,Prof. P.K. Biswas,IIT Kharagpur
Probability and Random Processes,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117105085,Prof. Mrityunjoy Chakraborty,IIT Kharagpur
RF Integrated Circuits,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117102012,Dr. Shouribrata Chatterjee,IIT Delhi
Semiconductor Device Modeling,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106033,Prof. S. Karmalkar,IIT Madras
Signals and Systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117104074,Prof. K.S. Venkatesh,IIT Kanpur
Solid State Devices,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106091,Prof. S. Karmalkar,IIT Madras
Transmission Lines and EM Waves,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117101056,Prof. R.K. Shevgaonkar,IIT Bombay
VLSI Circuits,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106092,Prof. S. Srinivasan,IIT Madras
VLSI Data Conversion Circuits,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106034,Dr. Shanthi Pavan,IIT Madras
VLSI Technology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106093,Dr. Nandita Dasgupta,IIT Madras
Wireless Communication,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117102062,Prof. Ranjan Bose,IIT Delhi
